# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  6 06:09:06 2024
#
# User preference: *
#
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
hostname,st_teff,st_mass,st_lum,ra,dec,sy_dist,sy_bmag,sy_vmag
HIP 96895,,,,295.4529704,50.5243764,21.1389000,6.6040000,5.9610000
16 Cyg B,5751.00,0.98,0.076,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
HIP 96895,,,,295.4529704,50.5243764,21.1389000,6.6040000,5.9610000
16 Cyg B,5747.00,1.03,0.097,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
HIP 96895,5778.00,1.04,0.196,295.4529704,50.5243764,21.1389000,6.6040000,5.9610000
16 Cyg B,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,5772.00,0.99,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
HIP 96895,,,,295.4529704,50.5243764,21.1389000,6.6040000,5.9610000
16 Cyg B,5674.00,0.99,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg C,,,,,,,,
HIP 96895,,1.02,,295.4529704,50.5243764,21.1389000,6.6040000,5.9610000
16 Cyg B,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
HIP 96895,,,,295.4529704,50.5243764,21.1389000,6.6040000,5.9610000
16 Cyg B,5711.97,0.98,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
HIP 96895,,,,295.4529704,50.5243764,21.1389000,6.6040000,5.9610000
HIP 96895,5781.00,1.02,0.230,295.4529704,50.5243764,21.1389000,6.6040000,5.9610000
HIP 96895,,,,295.4529704,50.5243764,21.1389000,6.6040000,5.9610000
16 Cyg B,5774.00,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,5750.00,1.08,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
16 Cyg B,,0.96,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
17 Sco,4364.06,,,243.4620874,-11.8377905,124.9530000,6.6150000,5.2260600
17 Sco,4157.00,1.22,2.254,243.4620874,-11.8377905,124.9530000,6.6150000,5.2260600
18 Del,5054.00,2.00,,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
18 Del,5076.00,2.33,,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
18 Del,5074.86,,,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
18 Del,5083.75,,1.576,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
18 Del,4979.00,2.30,1.602,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
18 Del,4980.00,2.10,1.634,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
18 Del B,3284.00,,,314.6058747,10.8312502,74.8120000,,
18 Del,,,,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
18 Del,,2.10,,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
1RXS J160929.1-210524,4076.58,,-0.459,242.3762343,-21.0831403,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524,4060.00,0.85,-0.370,242.3762343,-21.0831403,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524,4060.00,0.85,,242.3762343,-21.0831403,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524,3993.00,0.62,-0.403,242.3762343,-21.0831403,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524,4060.00,0.85,-0.370,242.3762343,-21.0831403,139.1350000,14.1680000,12.6180000
24 Boo,5025.78,,,217.1555242,49.8446488,95.9863000,6.4390000,5.5900000
24 Boo,5025.75,,1.757,217.1555242,49.8446488,95.9863000,6.4390000,5.5900000
24 Boo,,,,217.1555242,49.8446488,95.9863000,6.4390000,5.5900000
24 Boo,4893.00,0.99,1.774,217.1555242,49.8446488,95.9863000,6.4390000,5.5900000
24 Boo,4816.00,1.05,1.877,217.1555242,49.8446488,95.9863000,6.4390000,5.5900000
24 Sex,5027.00,,,155.8684866,-0.9023998,72.0691000,7.3990000,6.4535000
24 Sex,5098.00,1.54,1.164,155.8684866,-0.9023998,72.0691000,7.3990000,6.4535000
24 Sex,,,,155.8684866,-0.9023998,72.0691000,7.3990000,6.4535000
24 Sex,5020.00,,1.151,155.8684866,-0.9023998,72.0691000,7.3990000,6.4535000
24 Sex,,,,155.8684866,-0.9023998,72.0691000,7.3990000,6.4535000
24 Sex,5069.00,1.81,,155.8684866,-0.9023998,72.0691000,7.3990000,6.4535000
2MASS J01033563-5515561 A,,0.19,,15.8992489,-55.2658291,,16.9930000,15.7880000
2MASS J01033563-5515561 B,,0.17,,,,,,
2MASS J01225093-2439505,3530.00,0.40,-1.720,20.7128012,-24.6646128,33.8281000,15.7060000,14.2440000
2MASS J01225093-2439505,3309.00,0.35,-1.838,20.7128012,-24.6646128,33.8281000,15.7060000,14.2440000
2MASS J01225093-2439505,3976.24,,,20.7128012,-24.6646128,33.8281000,15.7060000,14.2440000
2MASS J02192210-3925225,3064.00,0.11,-2.230,34.8427046,-39.4230767,,18.5490000,
2MASS J02192210-3925225,3381.67,,,34.8427046,-39.4230767,,18.5490000,
2MASS J02192210-3925225,2873.00,0.24,-2.357,34.8427046,-39.4230767,,18.5490000,
2MASS J0249-0557 B,,0.04,-2.640,,,,,
2MASS J0249-0557 A,,0.05,-2.590,42.4851627,-5.9599921,66.0613000,18.2690000,18.3000000
2MASS J0249-0557 A,2859.00,0.29,-2.221,42.4851627,-5.9599921,66.0613000,18.2690000,18.3000000
2MASS J03590986+2009361,2943.00,0.26,-2.246,59.7911026,20.1599759,117.4350000,20.2700000,
2MASS J04372171+2651014,3100.00,0.17,-1.164,69.3405531,26.8502997,128.4840000,17.2370000,16.1860000
2MASS J04372171+2651014,3243.00,0.62,-1.388,69.3405531,26.8502997,128.4840000,17.2370000,16.1860000
2MASS J04414489+2301513,,0.02,,70.4371079,23.0308544,,,
2MASS J04414489+2301513,2936.00,0.20,-2.444,70.4371079,23.0308544,,,
2MASS J11011926-7732383,,,,165.3295388,-77.5440912,,,
2MASS J11550485-7919108,3021.00,0.59,-1.568,178.7691634,-79.3197558,100.8620000,17.8720000,16.9570000
2MASS J12073346-3932539,,0.02,,181.8890906,-39.5484399,64.3080000,,
2MASS J12073346-3932539,,,,181.8890906,-39.5484399,64.3080000,,
2MASS J12073346-3932539,,,,181.8890906,-39.5484399,64.3080000,,
2MASS J12073346-3932539,2825.00,0.19,-2.561,181.8890906,-39.5484399,64.3080000,,
2MASS J19383260+4603591 Ab,2829.00,0.12,,,,,,
2MASS J19383260+4603591,8868.67,,,294.6359173,46.0664076,396.3320000,12.1120000,12.6510000
2MASS J19383260+4603591,10868.00,,,294.6359173,46.0664076,396.3320000,12.1120000,12.6510000
2MASS J19383260+4603591,29564.00,0.48,,294.6359173,46.0664076,396.3320000,12.1120000,12.6510000
2MASS J19383260+4603591,10645.00,,,294.6359173,46.0664076,396.3320000,12.1120000,12.6510000
2MASS J19383260+4603591,,0.48,,294.6359173,46.0664076,396.3320000,12.1120000,12.6510000
2MASS J21252752-8138278,3592.00,0.64,-1.168,321.3662989,-81.6414894,34.1154000,13.3080000,11.8040000
2MASS J22362452+4751425,4085.00,,-1.021,339.1025931,47.8616830,69.5737000,13.7310000,12.3680000
2MASS J22362452+4751425,4033.00,0.63,-1.009,339.1025931,47.8616830,69.5737000,13.7310000,12.3680000
2MASS J22362452+4751425,4045.00,0.60,,339.1025931,47.8616830,69.5737000,13.7310000,12.3680000
30 Ari B,,1.11,,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
30 Ari A,,,,39.2528295,24.6471535,45.1372000,6.8550000,6.5019800
30 Ari A,6695.00,1.42,0.617,39.2528295,24.6471535,45.1372000,6.8550000,6.5019800
30 Ari B,,,,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
30 Ari B B,,,,,,,,
30 Ari A B,,,,,,,,
30 Ari B,6252.09,1.21,0.379,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
30 Ari A,,,,39.2528295,24.6471535,45.1372000,6.8550000,6.5019800
30 Ari B,6284.00,1.22,,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
30 Ari B,,,,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
30 Ari B,6331.00,1.93,,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
30 Ari B,6300.00,1.16,,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
30 Ari B,6211.27,,0.381,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
30 Ari B,,1.16,,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
4 UMa,4482.90,,,130.0528099,64.3280504,73.4603000,5.7700000,4.5801000
4 UMa,,,,130.0528099,64.3280504,73.4603000,5.7700000,4.5801000
4 UMa,4430.00,,2.062,130.0528099,64.3280504,73.4603000,5.7700000,4.5801000
4 UMa,4531.00,1.61,,130.0528099,64.3280504,73.4603000,5.7700000,4.5801000
4 UMa,,,,130.0528099,64.3280504,73.4603000,5.7700000,4.5801000
4 UMa,4415.00,1.23,,130.0528099,64.3280504,73.4603000,5.7700000,4.5801000
42 Dra,4452.00,1.12,,276.4975053,65.5633652,90.6545000,6.0050000,4.8262000
42 Dra B,3820.00,,,276.4897002,65.5573953,89.9150000,,14.5790000
42 Dra,4480.00,,2.155,276.4975053,65.5633652,90.6545000,6.0050000,4.8262000
42 Dra,4397.53,,,276.4975053,65.5633652,90.6545000,6.0050000,4.8262000
42 Dra,,,,276.4975053,65.5633652,90.6545000,6.0050000,4.8262000
42 Dra,4200.00,0.98,,276.4975053,65.5633652,90.6545000,6.0050000,4.8262000
47 UMa,5882.00,1.06,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,5947.00,,0.216,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,5954.00,1.07,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,5872.00,1.06,0.198,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,5925.00,1.05,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,5829.16,1.01,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,5882.00,1.06,0.233,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,1.06,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,5850.00,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,5892.00,1.03,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
51 Eri,7257.00,1.57,0.763,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
GJ 3305,,0.53,-1.389,69.4062922,-2.4915684,21.8235300,11.9430000,10.5580000
51 Eri,7295.00,1.65,0.752,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
51 Eri,,1.75,0.850,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
51 Eri,,,,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
GJ 3305 B,,,,,,,,
GJ 3305,,,,69.4062922,-2.4915684,21.8235300,11.9430000,10.5580000
51 Eri,,,,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
51 Eri,7190.10,,0.765,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
51 Eri,7276.00,,,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
51 Eri,,,,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,5758.00,1.03,0.136,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,5793.00,1.12,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,5773.00,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,5760.76,1.07,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,5787.00,1.05,0.161,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,1.05,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,5830.00,,0.147,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,1.04,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,5805.00,1.04,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,5786.00,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
55 Cnc,,0.95,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5250.00,0.90,-0.197,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5306.00,,-0.194,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc B,3187.00,0.26,-2.108,133.1679080,28.3152863,12.4773000,14.8840000,13.1520000
55 Cnc,5334.00,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5307.00,0.88,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,0.95,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5200.00,0.85,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,1.01,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5172.00,0.91,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5196.00,0.91,-0.235,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5234.00,0.91,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5172.00,0.87,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,0.95,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5317.89,0.97,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,0.96,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5250.00,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,,0.96,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc,5235.00,0.96,-0.180,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
6 Lyn,4689.00,1.30,,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn,4978.00,1.70,1.176,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn,4941.00,1.32,1.119,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn,5000.00,,1.156,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn,4938.00,1.44,,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn,5022.00,1.56,,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn,,1.82,,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn,,,,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn,4938.00,,,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn,,,,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
61 Vir,5562.00,0.98,-0.078,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,0.94,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,5577.00,0.94,-0.095,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,5571.00,0.94,-0.060,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,5558.00,0.88,-0.095,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,5579.00,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,5585.57,0.91,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,5538.00,0.93,-0.085,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir,5915.33,,-0.063,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
7 CMa,,1.44,1.121,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa,4792.00,1.52,1.053,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa,4799.00,1.89,1.079,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa,,,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa,,,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa,,,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa,,,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa,4794.52,,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa,4735.00,,1.108,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa,4761.00,1.34,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
