# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  6 05:46:58 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_vsin:        Stellar Rotational Velocity [km/s]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,pl_masse,pl_eqt,pl_orbincl,st_teff,st_lum,st_vsin,ra,dec,sy_dist,sy_bmag,sy_vmag
16 Cyg B b,,,,5750.00,,,295.4656422,50.5168243,21.1397000,6.8760000,6.2150000
17 Sco b,,,,4157.00,2.254,3.9800,243.4620874,-11.8377905,124.9530000,6.6150000,5.2260600
18 Del b,,,,4979.00,1.602,,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
18 Del b,,,,4980.00,1.634,,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
18 Del b,,,,,,,314.6078375,10.8391378,76.2220000,6.4300000,5.5104800
1RXS J160929.1-210524 b,4000.00000,1700,,4060.00,-0.370,,242.3762343,-21.0831403,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524 b,3000.00000,1700,,4060.00,-0.370,,242.3762343,-21.0831403,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524 b,3000.00000,1800,,3993.00,-0.403,,242.3762343,-21.0831403,139.1350000,14.1680000,12.6180000
1RXS J160929.1-210524 b,2543.00000,1800,,4060.00,,,242.3762343,-21.0831403,139.1350000,14.1680000,12.6180000
24 Boo b,,,,4893.00,1.774,3.3600,217.1555242,49.8446488,95.9863000,6.4390000,5.5900000
24 Boo b,,,,4816.00,1.877,,217.1555242,49.8446488,95.9863000,6.4390000,5.5900000
24 Sex b,,,,5098.00,1.164,2.7700,155.8684866,-0.9023998,72.0691000,7.3990000,6.4535000
24 Sex c,,,,5098.00,1.164,2.7700,155.8684866,-0.9023998,72.0691000,7.3990000,6.4535000
2M0437 b,1271.31363,1450,,3100.00,-1.164,22.5400,69.3405531,26.8502997,128.4840000,17.2370000,16.1860000
2MASS J01033563-5515561 AB b,4131.79000,,,,,,15.8992489,-55.2658291,,16.9930000,15.7880000
2MASS J01225093-2439505 b,,1600,,3309.00,-1.838,,20.7128012,-24.6646128,33.8281000,15.7060000,14.2440000
2MASS J01225093-2439505 b,7786.50000,,,3530.00,-1.720,,20.7128012,-24.6646128,33.8281000,15.7060000,14.2440000
2MASS J02192210-3925225 b,4417.83700,,,3064.00,-2.230,6.5000,34.8427046,-39.4230767,,18.5490000,
2MASS J0249-0557 c,3686.80952,,,,-2.590,,42.4851627,-5.9599921,66.0613000,18.2690000,18.3000000
2MASS J03590986+2009361 b,5720.91133,2369,,,,,59.7911026,20.1599759,117.4350000,20.2700000,
2MASS J04414489+2301513 b,2383.60000,,,,,,70.4371079,23.0308544,,,
2MASS J11011926-7732383 b,8899.19540,2677,,,,,165.3295388,-77.5440912,,,
2MASS J11550485-7919108 b,6356.56814,2506,,,,,178.7691634,-79.3197558,100.8620000,17.8720000,16.9570000
2MASS J12073346-3932539 b,1589.15000,1250,,,,,181.8890906,-39.5484399,64.3080000,,
2MASS J12073346-3932539 b,1271.00000,1150,,2825.00,-2.561,,181.8890906,-39.5484399,64.3080000,,
2MASS J19383260+4603591 b,,,,29564.00,,,294.6359173,46.0664076,396.3320000,12.1120000,12.6510000
2MASS J19383260+4603591 b,603.87700,,,,,,294.6359173,46.0664076,396.3320000,12.1120000,12.6510000
2MASS J21252752-8138278 b,3813.94088,1616,,,,,321.3662989,-81.6414894,34.1154000,13.3080000,11.8040000
2MASS J22362452+4751425 b,3972.87500,,,4045.00,,,339.1025931,47.8616830,69.5737000,13.7310000,12.3680000
30 Ari B b,,,,6300.00,,38.3000,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
30 Ari B b,,,,,,,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
30 Ari B b,,,,6331.00,,,39.2412736,24.6480103,44.6570000,7.4580000,7.0920900
4 UMa b,,,,4415.00,,,130.0528099,64.3280504,73.4603000,5.7700000,4.5801000
4 UMa b,,,,4415.00,,,130.0528099,64.3280504,73.4603000,5.7700000,4.5801000
42 Dra b,,,,4200.00,,1.0000,276.4975053,65.5633652,90.6545000,6.0050000,4.8262000
47 UMa b,,,,5882.00,,2.8000,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa b,,,,5872.00,0.198,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa b,,,,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa b,,,,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa b,,,,5829.16,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa c,,,,5872.00,0.198,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa c,,,,,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa c,,,,5829.16,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa d,,,,5872.00,0.198,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
47 UMa d,,,,5829.16,,,164.8647611,40.4304931,13.7967000,5.6460000,5.0335200
51 Eri b,,,138.000,7295.00,0.752,,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
51 Eri b,,,133.000,7295.00,0.752,,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
51 Eri b,635.66000,700,,,0.850,,69.4007424,-2.4738245,29.7575000,5.4860000,5.2114900
51 Peg b,,,,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg b,,,,5773.00,,2.2000,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg b,,,,5760.76,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg b,146.20180,,80.000,,,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
51 Peg b,,,,5758.00,0.136,,344.3675399,20.7690958,15.4614000,6.1040000,5.4530900
55 Cnc b,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,,,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,,,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,,,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,,,,5317.89,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,266.96600,,89.730,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,,,,5172.00,,1.2300,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,263.97850,,90.000,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,,,,5200.00,,2.0000,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,254.25000,700,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc b,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc c,,,,5172.00,,1.2300,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc c,56.69850,,89.730,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc c,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc c,,,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc c,,,,5317.89,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc c,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc c,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc c,54.47380,,90.000,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,1226.77000,,89.730,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,,,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,,,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,1232.49300,,90.000,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,,,,5172.00,,1.2300,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,,,,5317.89,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,,,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc d,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,7.99000,,83.590,5172.00,,1.2300,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,,,85.400,,,3.3000,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,8.09479,,90.360,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,,1831,,5250.00,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,8.08000,,83.300,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,,,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,7.81000,1958,87.300,5234.00,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,7.74000,,,5172.00,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,,,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,8.13928,,90.000,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,8.37000,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,8.08000,,83.000,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,8.59000,,,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,8.63000,,90.000,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,,,,5317.89,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc e,,,83.600,5234.00,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc f,,,,5172.00,,1.2300,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc f,47.00510,,89.730,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc f,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc f,,,,5317.89,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc f,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc f,44.81200,,90.000,,,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
55 Cnc f,,,,5250.00,-0.197,,133.1468373,28.3298154,12.5855000,6.8160000,5.9508400
6 Lyn b,,,,4978.00,1.176,1.3200,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn b,,,,,,,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn b,,,,4941.00,1.119,,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
6 Lyn b,,,,4938.00,,,97.6960311,58.1611753,54.6599000,6.7960000,5.8730700
61 Vir b,,,,5585.57,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir b,,,,5577.00,-0.095,1.9000,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir c,,,,5585.57,,,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir c,,,,5577.00,-0.095,1.9000,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
61 Vir d,,,,5577.00,-0.095,1.9000,199.5964550,-18.3157745,8.5033200,0.0720000,4.6955000
7 CMa b,,,,,1.121,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa b,,,,4792.00,1.053,1.1500,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa b,,,90.000,4826.00,1.063,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa b,,,,4794.52,,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa c,,,90.000,4826.00,1.063,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
7 CMa c,,,,,1.121,,99.1712760,-19.2561808,19.8101000,5.0130000,3.9500000
70 Vir b,2380.45000,,,5545.00,,2.6800,202.1064898,13.7763085,17.9011000,5.6780000,4.9680800
70 Vir b,,,,5495.00,,,202.1064898,13.7763085,17.9011000,5.6780000,4.9680800
70 Vir b,,,,5439.00,0.451,1.5600,202.1064898,13.7763085,17.9011000,5.6780000,4.9680800
70 Vir b,,,,5481.86,,,202.1064898,13.7763085,17.9011000,5.6780000,4.9680800
70 Vir b,,,,5531.00,,,202.1064898,13.7763085,17.9011000,5.6780000,4.9680800
70 Vir b,,,,,,,202.1064898,13.7763085,17.9011000,5.6780000,4.9680800
75 Cet b,,,,4809.00,1.714,,38.0391598,-1.0350269,82.9613000,6.3660000,5.3532000
75 Cet b,,,,4846.00,1.730,1.7700,38.0391598,-1.0350269,82.9613000,6.3660000,5.3532000
75 Cet c,,,,4809.00,1.714,,38.0391598,-1.0350269,82.9613000,6.3660000,5.3532000
8 UMi b,,,,4847.00,,,224.2016850,74.9009379,162.5520000,7.8340000,6.8329500
8 UMi b,,,,4847.40,,3.6000,224.2016850,74.9009379,162.5520000,7.8340000,6.8329500
81 Cet b,,,,4785.00,1.778,1.8000,39.4243555,-3.3963607,101.2600000,6.6750000,5.6430700
81 Cet b,,,,,,,39.4243555,-3.3963607,101.2600000,6.6750000,5.6430700
81 Cet b,,,,4734.00,1.760,,39.4243555,-3.3963607,101.2600000,6.6750000,5.6430700
91 Aqr b,,,,4665.00,,3.9000,348.9745031,-9.0878076,44.0304000,5.3500000,4.2394600
AB Aur b,2860.45566,,42.600,9770.00,1.771,,73.9410446,30.5510888,162.1270000,7.1930000,7.0760000
AB Pic b,4290.50000,,,,,,94.8039208,-58.0541184,50.0475000,10.1480000,9.1300000
AF Lep b,1664.46737,1400,82.000,6100.00,,54.7000,81.7699216,-11.9011752,26.8564000,6.8540000,6.3320000
AF Lep b,1017.05090,,50.000,6130.00,,50.0000,81.7699216,-11.9011752,26.8564000,6.8540000,6.3320000
AF Lep b,1366.66215,,98.000,6140.00,,,81.7699216,-11.9011752,26.8564000,6.8540000,6.3320000
AU Mic b,,,89.180,,,,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic b,,,,,,9.2300,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic b,,755,,3588.00,,,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic b,,,,3700.00,-1.046,8.7000,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic b,17.10000,,89.500,3700.00,-1.046,7.8000,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic b,11.70000,,,3700.00,-1.046,7.8000,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic b,17.00000,593,89.500,3700.00,,,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic b,,600,89.579,3678.00,-1.038,,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic b,20.12000,,,,,,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic b,10.20000,,,3665.00,-0.990,8.5000,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic c,14.20000,,,3665.00,-0.990,8.5000,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic c,,,89.390,,,,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic c,13.60000,454,89.000,3700.00,,,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic c,,459,89.227,3678.00,-1.038,,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic c,9.60000,,,,,,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic c,22.20000,,,3700.00,-1.046,7.8000,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
AU Mic d,1.05300,,89.318,3678.00,-1.038,,311.2911369,-31.3424500,9.7221000,10.2090000,8.8100000
BD+03 2562 b,,,,4095.00,2.700,2.7000,177.5647268,2.7601075,1070.6300000,10.7950000,9.5770000
BD+14 4559 b,,,,5008.00,-0.320,2.5000,318.4010002,14.6893834,49.3520000,10.5810000,9.7800000
BD+14 4559 b,,,,4864.00,,,318.4010002,14.6893834,49.3520000,10.5810000,9.7800000
BD+15 2375 b,,,,4649.00,1.570,2.5000,176.4820239,14.6163182,768.0450000,11.3870000,10.4100000
BD+15 2940 b,,,,4796.00,2.010,2.3000,240.0956400,15.5467507,426.4200000,10.1210000,9.0100000
BD+20 2457 b,,,,4137.00,3.170,2.5000,154.1867820,19.8912626,1539.7100000,10.9890000,9.7430000
BD+20 2457 b,,,,4259.00,,,154.1867820,19.8912626,1539.7100000,10.9890000,9.7430000
BD+20 2457 c,,,,4137.00,3.170,2.5000,154.1867820,19.8912626,1539.7100000,10.9890000,9.7430000
BD+20 274 b,,,,4296.00,1.960,2.0000,25.9203179,21.0052692,1322.5100000,10.7200000,9.3670000
BD+20 594 b,,,89.526,5703.00,,,53.6511231,20.5990205,179.4610000,11.7650000,10.8490000
BD+20 594 b,22.24810,,89.550,5766.00,,,53.6511231,20.5990205,179.4610000,11.7650000,10.8490000
BD+20 594 b,16.30000,546,89.550,5766.00,-0.056,3.3000,53.6511231,20.5990205,179.4610000,11.7650000,10.8490000
BD+45 564 b,,,2.579,5004.00,,2.0000,32.9470485,45.9242187,53.6220000,10.5360000,9.6700000
BD+48 738 b,,,,4414.00,1.690,1.0000,40.7102869,49.5869395,871.4930000,10.3520000,9.1390000
BD+48 740 b,,,,4534.00,1.640,0.7000,40.7425426,48.9300579,666.5890000,10.5100000,8.6900000
BD+49 828 b,,,,4943.00,1.470,1.7000,45.6406187,49.7299481,442.0420000,10.5080000,9.3810000
BD+55 362 b,,,0.601,5012.00,,2.0000,23.9636676,56.6982282,52.5697000,10.2990000,9.3800000
BD+60 1417 b,4767.42610,1303,,4993.00,0.356,11.0000,190.8875453,60.0143636,44.9543000,10.3790000,9.3740000
BD+63 1405 b,3305.41543,,23.500,5000.00,,,271.3979337,63.6700064,38.0473000,9.8300000,8.9600000
BD+63 1405 b,,,5.974,5000.00,,2.1000,271.3979337,63.6700064,38.0473000,9.8300000,8.9600000
BD-06 1339 b,,,,4324.00,-1.022,0.5700,88.2511811,-5.9963378,20.2695000,10.9720000,9.7000000
BD-06 1339 c,,,,4324.00,-1.022,0.5700,88.2511811,-5.9963378,20.2695000,10.9720000,9.7000000
BD-08 2823 b,,,,4746.00,,1.4000,150.1971964,-9.5165689,41.3342000,10.8800000,9.8600000
BD-08 2823 b,,,,4816.00,,,150.1971964,-9.5165689,41.3342000,10.8800000,9.8600000
BD-08 2823 c,,,,4746.00,,1.4000,150.1971964,-9.5165689,41.3342000,10.8800000,9.8600000
BD-10 3166 b,,,,5393.00,,0.9200,164.6191243,-10.7704227,84.4069000,10.8780000,10.0130000
BD-10 3166 b,,,,5393.00,,,164.6191243,-10.7704227,84.4069000,10.8780000,10.0130000
BD-10 3166 b,,,,5400.00,,,164.6191243,-10.7704227,84.4069000,10.8780000,10.0130000
BD-10 3166 b,,,,5382.64,,,164.6191243,-10.7704227,84.4069000,10.8780000,10.0130000
BD-11 4672 b,,,,4475.00,,2.0000,278.3688659,-11.6370481,27.1665000,11.2430000,10.0300000
BD-11 4672 b,,,,4550.00,-0.804,1.0000,278.3688659,-11.6370481,27.1665000,11.2430000,10.0300000
BD-11 4672 c,,,,4550.00,-0.804,1.0000,278.3688659,-11.6370481,27.1665000,11.2430000,10.0300000
BD-13 2130 b,,,,4545.00,,,114.2884692,-13.9066703,925.2140000,11.3130000,10.0380000
BD-13 2130 b,,,,,,,114.2884692,-13.9066703,925.2140000,11.3130000,10.0380000
BD-14 3065 b,,1404,,6736.90,,,153.6696689,-15.6428372,589.4230000,11.4840000,11.1000000
BD-14 3065 b,3932.00000,2001,80.780,6935.00,1.060,22.0000,153.6696689,-15.6428372,589.4230000,11.4840000,11.1000000
BD-17 63 b,1639.99458,,,,,,7.1413494,-16.2273254,34.4603000,10.6770000,9.6200000
BD-17 63 b,,,,4665.00,,,7.1413494,-16.2273254,34.4603000,10.6770000,9.6200000
BD-17 63 b,1366.66215,,80.000,,,,7.1413494,-16.2273254,34.4603000,10.6770000,9.6200000
BD-17 63 b,,,,4714.00,-0.678,1.5000,7.1413494,-16.2273254,34.4603000,10.6770000,9.6200000
BD-210397 b,,,,4051.00,-0.870,1.0000,33.3024198,-21.1962147,23.7324000,11.1370000,9.8400000
BD-210397 c,1525.57635,,33.000,,,3.2000,33.3024198,-21.1962147,23.7324000,11.1370000,9.8400000
BD-210397 c,,,,4051.00,-0.870,1.0000,33.3024198,-21.1962147,23.7324000,11.1370000,9.8400000
CD Cet b,,464,87.480,3130.00,-2.533,2.0000,48.3530155,4.7751881,8.6071500,,13.9500000
CFBDSIR J145829+101343 b,3337.10000,370,,580.50,,,224.6208333,10.2286111,,,
CFHTWIR-Oph 98 b,2479.06157,1800,,2320.00,-2.850,,246.9342770,-23.9811500,,,
CHXR 73 b,3994.48600,,,,,,166.6193985,-77.6258725,190.3740000,,
CI Tau c,,,,,,,68.4667685,22.8416192,157.9980000,15.5600000,13.6420000
COCONUTS-2 b,2002.31896,434,,3406.00,-1.732,,117.3009140,-76.7026960,10.8864000,12.9830000,11.2980000
CT Cha b,5403.00000,2600,,,,,166.0375038,-76.4553693,190.7200000,13.7990000,12.3350000
CoRoT-1 b,327.35000,1898,85.100,5950.00,,5.2000,102.0798591,-3.1021394,787.9090000,14.1580000,13.6230000
CoRoT-1 b,359.14790,,86.700,5950.00,,5.2000,102.0798591,-3.1021394,787.9090000,14.1580000,13.6230000
CoRoT-1 b,,,,,,,102.0798591,-3.1021394,787.9090000,14.1580000,13.6230000
CoRoT-1 b,390.93090,,85.100,6298.00,,5.2000,102.0798591,-3.1021394,787.9090000,14.1580000,13.6230000
CoRoT-1 b,327.36490,1915,84.420,5950.00,,,102.0798591,-3.1021394,787.9090000,14.1580000,13.6230000
CoRoT-1 b,,2036,,5950.00,,,102.0798591,-3.1021394,787.9090000,14.1580000,13.6230000
CoRoT-1 b,340.07810,1834,85.660,5950.00,,,102.0798591,-3.1021394,787.9090000,14.1580000,13.6230000
CoRoT-10 b,867.67590,,88.550,5075.00,,2.0000,291.0636813,0.7460143,338.3860000,17.3440000,15.2930000
CoRoT-10 b,883.56740,647,88.570,5075.00,,,291.0636813,0.7460143,338.3860000,17.3440000,15.2930000
CoRoT-10 b,874.00000,600,88.550,5075.00,,2.0000,291.0636813,0.7460143,338.3860000,17.3440000,15.2930000
CoRoT-11 b,791.39670,1715,83.410,,,38.4700,280.6872998,5.9376586,655.0370000,13.5290000,12.8970000
CoRoT-11 b,,,83.170,6440.00,,40.0000,280.6872998,5.9376586,655.0370000,13.5290000,12.8970000
CoRoT-11 b,832.71460,,83.170,6440.00,,40.0000,280.6872998,5.9376586,655.0370000,13.5290000,12.8970000
CoRoT-11 b,743.72220,1735,83.130,6440.00,,,280.6872998,5.9376586,655.0370000,13.5290000,12.8970000
CoRoT-11 b,,1682,,6343.00,,,280.6872998,5.9376586,655.0370000,13.5290000,12.8970000
CoRoT-11 b,740.51000,1657,83.170,6440.00,,40.0000,280.6872998,5.9376586,655.0370000,13.5290000,12.8970000
CoRoT-11 b,,,,6343.00,,36.7200,280.6872998,5.9376586,655.0370000,13.5290000,12.8970000
